"storeid","category","sales_date","units_sold"
"S001","Groceries","2022-01","13763"
"S001","Clothing","2022-01","13674"
"S001","Electronics","2022-01","17077"
"S001","Furniture","2022-01","17257"
"S001","Toys","2022-01","15853"
"S001","Clothing","2022-02","18824"
"S001","Electronics","2022-02","17445"
"S001","Toys","2022-02","15346"
"S001","Furniture","2022-02","12466"
"S001","Groceries","2022-02","13993"
"S001","Groceries","2022-03","18746"
"S001","Electronics","2022-03","13766"
"S001","Toys","2022-03","18823"
"S001","Clothing","2022-03","16558"
"S001","Furniture","2022-03","17806"
"S001","Clothing","2022-04","12081"
"S001","Toys","2022-04","15404"
"S001","Groceries","2022-04","18358"
"S001","Furniture","2022-04","15797"
"S001","Electronics","2022-04","16670"
"S001","Toys","2022-05","15778"
"S001","Furniture","2022-05","16221"
"S001","Clothing","2022-05","13149"
"S001","Electronics","2022-05","14474"
"S001","Groceries","2022-05","19641"
"S001","Furniture","2022-06","13064"
"S001","Electronics","2022-06","13274"
"S001","Groceries","2022-06","16258"
"S001","Toys","2022-06","18158"
"S001","Clothing","2022-06","18024"
"S001","Toys","2022-07","18739"
"S001","Furniture","2022-07","17548"
"S001","Clothing","2022-07","15835"
"S001","Electronics","2022-07","11915"
"S001","Groceries","2022-07","17501"
"S001","Clothing","2022-08","13693"
"S001","Groceries","2022-08","14161"
"S001","Toys","2022-08","18344"
"S001","Electronics","2022-08","19143"
"S001","Furniture","2022-08","17523"
"S001","Electronics","2022-09","16285"
"S001","Clothing","2022-09","18877"
"S001","Groceries","2022-09","17666"
"S001","Furniture","2022-09","17359"
"S001","Toys","2022-09","14554"
"S001","Clothing","2022-10","17067"
"S001","Electronics","2022-10","16944"
"S001","Groceries","2022-10","17536"
"S001","Furniture","2022-10","17120"
"S001","Toys","2022-10","19526"
"S001","Clothing","2022-11","16934"
"S001","Electronics","2022-11","15713"
"S001","Groceries","2022-11","18210"
"S001","Toys","2022-11","16762"
"S001","Furniture","2022-11","18500"
"S001","Toys","2022-12","16919"
"S001","Furniture","2022-12","16547"
"S001","Electronics","2022-12","16100"
"S001","Clothing","2022-12","17457"
"S001","Groceries","2022-12","14750"
"S001","Groceries","2023-01","19139"
"S001","Clothing","2023-01","14402"
"S001","Electronics","2023-01","18836"
"S001","Furniture","2023-01","16962"
"S001","Toys","2023-01","17693"
"S001","Electronics","2023-02","14167"
"S001","Furniture","2023-02","15421"
"S001","Clothing","2023-02","14933"
"S001","Toys","2023-02","15220"
"S001","Groceries","2023-02","15772"
"S001","Clothing","2023-03","18059"
"S001","Electronics","2023-03","13864"
"S001","Groceries","2023-03","17111"
"S001","Furniture","2023-03","19789"
"S001","Toys","2023-03","15667"
"S001","Toys","2023-04","15621"
"S001","Groceries","2023-04","14775"
"S001","Electronics","2023-04","14596"
"S001","Clothing","2023-04","16800"
"S001","Furniture","2023-04","17594"
"S001","Furniture","2023-05","13350"
"S001","Toys","2023-05","18336"
"S001","Clothing","2023-05","14799"
"S001","Groceries","2023-05","18802"
"S001","Electronics","2023-05","14765"
"S001","Furniture","2023-06","15517"
"S001","Groceries","2023-06","14522"
"S001","Electronics","2023-06","14288"
"S001","Toys","2023-06","14918"
"S001","Clothing","2023-06","17590"
"S001","Electronics","2023-07","17214"
"S001","Groceries","2023-07","14340"
"S001","Furniture","2023-07","18978"
"S001","Clothing","2023-07","19280"
"S001","Toys","2023-07","18846"
"S001","Electronics","2023-08","17365"
"S001","Clothing","2023-08","18370"
"S001","Furniture","2023-08","15336"
"S001","Groceries","2023-08","17525"
"S001","Toys","2023-08","15387"
"S001","Groceries","2023-09","16286"
"S001","Clothing","2023-09","15074"
"S001","Furniture","2023-09","15496"
"S001","Electronics","2023-09","18993"
"S001","Toys","2023-09","17349"
"S001","Electronics","2023-10","19578"
"S001","Toys","2023-10","16908"
"S001","Furniture","2023-10","18359"
"S001","Groceries","2023-10","17424"
"S001","Clothing","2023-10","14004"
"S001","Furniture","2023-11","16926"
"S001","Groceries","2023-11","15520"
"S001","Toys","2023-11","14749"
"S001","Electronics","2023-11","16920"
"S001","Clothing","2023-11","16580"
"S001","Toys","2023-12","15139"
"S001","Furniture","2023-12","19116"
"S001","Groceries","2023-12","16317"
"S001","Clothing","2023-12","15377"
"S001","Electronics","2023-12","18432"
"S001","Electronics","2024-01","759"
"S001","Groceries","2024-01","906"
"S001","Clothing","2024-01","154"
"S001","Toys","2024-01","290"
"S001","Furniture","2024-01","169"
