"storeid","region","category","units_sold_2022","units_sold_2023"
"S001","East","Electronics","46634","52728"
"S001","East","Toys","48608","46879"
"S001","East","Furniture","47333","47501"
"S001","East","Clothing","51189","54208"
"S001","East","Groceries","46986","52224"
"S001","North","Electronics","48425","42260"
"S001","North","Clothing","52457","43580"
"S001","North","Groceries","50251","46825"
"S001","North","Furniture","48967","53083"
"S001","North","Toys","55169","51024"
"S001","South","Groceries","52472","51471"
"S001","South","Electronics","43604","49049"
"S001","South","Toys","48225","52787"
"S001","South","Clothing","42334","47676"
"S001","South","Furniture","53128","54079"
"S001","West","Furniture","47780","48181"
"S001","West","Clothing","46193","49804"
"S001","West","Groceries","50874","47013"
"S001","West","Toys","52204","45143"
"S001","West","Electronics","50143","54981"
